speed,indo_time,arrival,pred_label
23273,2024-08-09 05:40:12+07:00,0,0
23263,2024-08-09 05:40:13+07:00,0,0
23341,2024-08-09 05:40:14+07:00,0,0
23274,2024-08-09 05:40:15+07:00,0,0
23272,2024-08-09 05:40:16+07:00,0,0
23311,2024-08-09 05:40:17+07:00,0,0
23238,2024-08-09 05:40:18+07:00,0,0
23298,2024-08-09 05:40:19+07:00,0,0
23294,2024-08-09 05:40:20+07:00,0,0
23278,2024-08-09 05:40:21+07:00,0,0
23287,2024-08-09 05:40:22+07:00,0,0
23274,2024-08-09 05:40:23+07:00,0,0
23300,2024-08-09 05:40:24+07:00,0,0
23314,2024-08-09 05:40:25+07:00,0,0
23271,2024-08-09 05:40:26+07:00,0,0
23277,2024-08-09 05:40:27+07:00,0,0
23232,2024-08-09 05:40:28+07:00,0,0
23268,2024-08-09 05:40:29+07:00,0,0
23295,2024-08-09 05:40:30+07:00,0,0
23304,2024-08-09 05:40:31+07:00,0,0
23293,2024-08-09 05:40:32+07:00,0,0
23256,2024-08-09 05:40:33+07:00,0,0
23260,2024-08-09 05:40:34+07:00,0,0
23244,2024-08-09 05:40:35+07:00,0,0
23281,2024-08-09 05:40:36+07:00,0,0
23340,2024-08-09 05:40:37+07:00,0,0
23262,2024-08-09 05:40:38+07:00,0,0
23305,2024-08-09 05:40:39+07:00,0,0
23290,2024-08-09 05:40:40+07:00,0,0
23309,2024-08-09 05:40:41+07:00,0,0
23301,2024-08-09 05:40:42+07:00,0,0
23253,2024-08-09 05:40:43+07:00,0,0
23201,2024-08-09 05:40:44+07:00,0,0
23214,2024-08-09 05:40:45+07:00,0,0
23250,2024-08-09 05:40:46+07:00,0,0
23272,2024-08-09 05:40:47+07:00,0,0
23318,2024-08-09 05:40:48+07:00,0,0
23261,2024-08-09 05:40:49+07:00,0,0
23298,2024-08-09 05:40:50+07:00,0,0
23296,2024-08-09 05:40:51+07:00,0,0
23311,2024-08-09 05:40:52+07:00,0,0
23328,2024-08-09 05:40:53+07:00,0,0
23298,2024-08-09 05:40:54+07:00,0,0
23247,2024-08-09 05:40:55+07:00,0,0
23221,2024-08-09 05:40:56+07:00,0,0
23244,2024-08-09 05:40:57+07:00,0,0
23263,2024-08-09 05:40:58+07:00,0,0
23297,2024-08-09 05:40:59+07:00,0,0
23253,2024-08-09 05:41:00+07:00,0,0
23271,2024-08-09 05:41:01+07:00,0,0
23309,2024-08-09 05:41:02+07:00,0,0
23265,2024-08-09 05:41:03+07:00,0,0
23360,2024-08-09 05:41:04+07:00,0,0
23333,2024-08-09 05:41:05+07:00,0,0
23274,2024-08-09 05:41:06+07:00,0,0
23261,2024-08-09 05:41:07+07:00,0,0
23244,2024-08-09 05:41:08+07:00,0,0
23262,2024-08-09 05:41:09+07:00,0,0
23288,2024-08-09 05:41:10+07:00,0,0
23261,2024-08-09 05:41:11+07:00,0,0
23225,2024-08-09 05:41:12+07:00,0,0
23280,2024-08-09 05:41:13+07:00,0,0
23279,2024-08-09 05:41:14+07:00,0,0
23285,2024-08-09 05:41:15+07:00,0,0
23311,2024-08-09 05:41:16+07:00,0,0
23226,2024-08-09 05:41:17+07:00,0,0
23294,2024-08-09 05:41:18+07:00,0,0
23245,2024-08-09 05:41:19+07:00,0,0
23270,2024-08-09 05:41:20+07:00,0,0
23349,2024-08-09 05:41:21+07:00,0,0
23277,2024-08-09 05:41:22+07:00,0,0
23242,2024-08-09 05:41:23+07:00,0,0
23316,2024-08-09 05:41:24+07:00,0,0
23232,2024-08-09 05:41:25+07:00,0,0
23305,2024-08-09 05:41:26+07:00,0,0
23312,2024-08-09 05:41:27+07:00,0,0
23186,2024-08-09 05:41:28+07:00,0,0
23286,2024-08-09 05:41:29+07:00,0,0
23242,2024-08-09 05:41:30+07:00,0,0
23241,2024-08-09 05:41:31+07:00,0,0
23353,2024-08-09 05:41:32+07:00,0,0
23255,2024-08-09 05:41:33+07:00,0,0
23255,2024-08-09 05:41:34+07:00,0,0
23248,2024-08-09 05:41:35+07:00,0,0
23279,2024-08-09 05:41:36+07:00,0,0
23279,2024-08-09 05:41:37+07:00,0,0
23329,2024-08-09 05:41:38+07:00,0,0
23329,2024-08-09 05:41:39+07:00,0,0
23277,2024-08-09 05:41:40+07:00,0,0
23272,2024-08-09 05:41:41+07:00,0,0
23233,2024-08-09 05:41:42+07:00,0,0
23233,2024-08-09 05:41:43+07:00,0,0
23335,2024-08-09 05:41:44+07:00,0,0
23177,2024-08-09 05:41:45+07:00,0,0
23240,2024-08-09 05:41:46+07:00,0,0
23262,2024-08-09 05:41:47+07:00,0,0
23262,2024-08-09 05:41:48+07:00,0,0
23314,2024-08-09 05:41:49+07:00,0,0
23332,2024-08-09 05:41:50+07:00,0,0
23261,2024-08-09 05:41:51+07:00,0,0
23321,2024-08-09 05:41:52+07:00,0,0
23274,2024-08-09 05:41:53+07:00,0,0
23337,2024-08-09 05:41:54+07:00,0,0
23287,2024-08-09 05:41:55+07:00,0,0
23252,2024-08-09 05:41:56+07:00,0,0
23210,2024-08-09 05:41:57+07:00,0,0
23199,2024-08-09 05:41:58+07:00,0,0
23273,2024-08-09 05:41:59+07:00,0,0
23262,2024-08-09 05:42:00+07:00,0,0
23360,2024-08-09 05:42:01+07:00,0,0
23269,2024-08-09 05:42:02+07:00,0,0
23269,2024-08-09 05:42:03+07:00,0,0
23321,2024-08-09 05:42:04+07:00,0,0
23311,2024-08-09 05:42:05+07:00,0,0
23293,2024-08-09 05:42:06+07:00,0,0
23268,2024-08-09 05:42:07+07:00,0,0
23224,2024-08-09 05:42:08+07:00,0,0
23240,2024-08-09 05:42:09+07:00,0,0
23252,2024-08-09 05:42:10+07:00,0,0
23244,2024-08-09 05:42:11+07:00,0,0
23364,2024-08-09 05:42:12+07:00,0,0
23240,2024-08-09 05:42:13+07:00,0,0
23256,2024-08-09 05:42:14+07:00,0,0
23296,2024-08-09 05:42:15+07:00,0,0
23295,2024-08-09 05:42:16+07:00,0,0
23282,2024-08-09 05:42:17+07:00,0,0
23281,2024-08-09 05:42:18+07:00,0,0
23220,2024-08-09 05:42:19+07:00,0,0
23277,2024-08-09 05:42:20+07:00,0,0
23258,2024-08-09 05:42:21+07:00,0,0
23312,2024-08-09 05:42:22+07:00,0,0
23316,2024-08-09 05:42:23+07:00,0,0
23240,2024-08-09 05:42:24+07:00,0,0
23257,2024-08-09 05:42:25+07:00,0,0
23277,2024-08-09 05:42:26+07:00,0,0
23264,2024-08-09 05:42:27+07:00,0,0
23319,2024-08-09 05:42:28+07:00,0,0
23284,2024-08-09 05:42:29+07:00,0,0
23218,2024-08-09 05:42:30+07:00,0,0
23273,2024-08-09 05:42:31+07:00,0,0
23244,2024-08-09 05:42:32+07:00,0,0
23297,2024-08-09 05:42:33+07:00,0,0
23294,2024-08-09 05:42:34+07:00,0,0
23286,2024-08-09 05:42:35+07:00,0,0
23262,2024-08-09 05:42:36+07:00,0,0
23296,2024-08-09 05:42:37+07:00,0,0
23268,2024-08-09 05:42:38+07:00,0,0
23356,2024-08-09 05:42:39+07:00,0,0
23300,2024-08-09 05:42:40+07:00,0,0
23236,2024-08-09 05:42:41+07:00,0,0
23188,2024-08-09 05:42:42+07:00,0,0
23289,2024-08-09 05:42:43+07:00,0,0
23244,2024-08-09 05:42:44+07:00,0,0
23273,2024-08-09 05:42:45+07:00,0,0
23281,2024-08-09 05:42:46+07:00,0,0
23232,2024-08-09 05:42:47+07:00,0,0
23326,2024-08-09 05:42:48+07:00,0,0
23269,2024-08-09 05:42:49+07:00,0,0
23373,2024-08-09 05:42:50+07:00,0,0
23396,2024-08-09 05:42:51+07:00,0,0
23255,2024-08-09 05:42:52+07:00,0,0
23286,2024-08-09 05:42:53+07:00,0,0
23295,2024-08-09 05:42:54+07:00,0,0
23181,2024-08-09 05:42:55+07:00,0,0
23309,2024-08-09 05:42:56+07:00,0,0
23205,2024-08-09 05:42:57+07:00,0,0
23182,2024-08-09 05:42:58+07:00,0,0
23273,2024-08-09 05:42:59+07:00,0,0
23313,2024-08-09 05:43:00+07:00,0,0
23343,2024-08-09 05:43:01+07:00,0,0
23369,2024-08-09 05:43:02+07:00,0,0
23264,2024-08-09 05:43:03+07:00,0,0
23260,2024-08-09 05:43:04+07:00,0,0
23285,2024-08-09 05:43:05+07:00,0,0
23246,2024-08-09 05:43:06+07:00,0,0
