indo_time,speed,speed_norm,anomaly_score,is_anomaly
2025-05-27 17:04:29+00:00,23102.8,-1.614308398701209,954835.6539215164,1
2025-05-27 17:04:30+00:00,23105.5,-1.5922502914447247,962026.9889847016,1
2025-05-27 17:04:31+00:00,23111.9,-1.539964407577505,977018.2915510585,1
2025-05-27 17:04:32+00:00,23120.3,-1.4713391850018125,994775.1539315182,1
2025-05-27 17:04:33+00:00,23116.3,-1.5040178624188174,1009545.0007750305,1
2025-05-27 17:04:34+00:00,23112.1,-1.5383304737066785,1030720.3242015933,1
2025-05-27 17:04:35+00:00,23107.2,-1.5783618535424917,1062347.141731011,1
2025-05-27 17:04:36+00:00,23113.1,-1.5301608043524273,1090645.3037792775,1
2025-05-27 17:04:37+00:00,23114.5,-1.5187232672564637,1103703.456878446,1
2025-05-27 17:04:38+00:00,23109.4,-1.560388580963133,1113195.6530343436,1
2025-05-27 17:04:39+00:00,23099.6,-1.640451340634819,1118439.9147573123,1
2025-05-27 17:04:40+00:00,23092.5,-1.6984559930499907,1112871.9949406395,1
2025-05-27 17:04:41+00:00,23099.8,-1.6388174067639627,1142731.1482108145,1
2025-05-27 17:04:42+00:00,23108.9,-1.5644734156402587,1167589.5322815957,1
2025-05-27 17:04:43+00:00,23113.1,-1.5301608043524273,1182788.5239278558,1
2025-05-27 17:04:44+00:00,23107.8,-1.5734600519299529,1190775.4974775005,1
2025-05-27 17:04:45+00:00,23102.8,-1.614308398701209,1212119.1273080623,1
2025-05-27 17:04:46+00:00,23100.2,-1.6355495390222503,1239098.8873122039,1
2025-05-27 17:04:47+00:00,23109.3,-1.561205547898576,1265046.0909092994,1
2025-05-27 17:04:48+00:00,23105.8,-1.5897993906384553,1276287.3545961445,1
2025-05-27 17:04:49+00:00,23104.3,-1.6020538946698322,1254248.1898834629,1
2025-05-27 17:04:50+00:00,23096.8,-1.6633264148267164,1203609.2588079497,1
2025-05-27 17:04:51+00:00,23093.7,-1.6886523898248833,1173024.1936560362,1
2025-05-27 17:04:52+00:00,23102.3,-1.6183932333783346,1183850.2540605066,1
2025-05-27 17:04:53+00:00,23107.3,-1.5775448866070785,1191224.518776759,1
2025-05-27 17:04:54+00:00,23116.3,-1.5040178624188174,1200094.126952324,1
2025-05-27 17:04:55+00:00,23112.7,-1.53342867209411,1198901.0219082555,1
2025-05-27 17:04:56+00:00,23103.3,-1.6102235640240834,1188696.5911901908,1
2025-05-27 17:04:57+00:00,23100.3,-1.634732572086837,1188433.0844755531,1
2025-05-27 17:04:58+00:00,23101.8,-1.6224780680554602,1190297.525208608,1
2025-05-27 17:04:59+00:00,23106.4,-1.5848975890258867,1198364.584964488,1
2025-05-27 17:05:00+00:00,23111.5,-1.5432322753192174,1185869.1979954175,1
2025-05-27 17:05:01+00:00,23106.7,-1.5824466882196173,1168599.9464234565,1
2025-05-27 17:05:02+00:00,23105.3,-1.593884225315581,1180385.2528939433,1
2025-05-27 17:05:03+00:00,23104.2,-1.6028708616052454,1210437.9426745193,1
2025-05-27 17:05:04+00:00,23108.4,-1.5685582503173843,1210377.0750777228,1
2025-05-27 17:05:05+00:00,23110.2,-1.553852845479738,1189997.905066065,1
2025-05-27 17:05:06+00:00,23097.1,-1.660875514020447,1143961.260006145,1
2025-05-27 17:05:07+00:00,23094.8,-1.6796657535352189,1104995.5856434985,1
2025-05-27 17:05:08+00:00,23081.8,-1.7858714551404846,1084858.55913352,1
2025-05-27 17:05:09+00:00,23087.0,-1.7433891744983725,1060863.5883474478,1
2025-05-27 17:05:10+00:00,23095.6,-1.6731300180518238,1014983.4730071021,1
2025-05-27 17:05:11+00:00,23099.8,-1.6388174067639627,933347.0688700854,1
2025-05-27 17:05:12+00:00,23098.8,-1.646987076118214,865146.7676919927,1
2025-05-27 17:05:13+00:00,23099.9,-1.6380004398285197,831071.9449880853,1
2025-05-27 17:05:14+00:00,23096.6,-1.6649603486975726,815341.6561731456,1
2025-05-27 17:05:15+00:00,23114.9,-1.5154553995147513,803187.8216817777,1
2025-05-27 17:05:16+00:00,23116.8,-1.4999330277416918,790297.629964408,1
2025-05-27 17:05:17+00:00,23108.9,-1.5644734156402587,765621.5095725921,1
2025-05-27 17:05:18+00:00,23105.1,-1.5955181591864371,745392.0165059627,1
2025-05-27 17:05:19+00:00,23091.2,-1.7090765632105114,719902.0263892245,1
2025-05-27 17:05:20+00:00,23100.5,-1.633098638215981,698911.8035823916,1
2025-05-27 17:05:21+00:00,23106.3,-1.5857145559613297,685459.7128978507,1
2025-05-27 17:05:22+00:00,23105.5,-1.5922502914447247,682609.5940032878,1
2025-05-27 17:05:23+00:00,23103.5,-1.6085896301532272,690886.5110804315,1
2025-05-27 17:05:24+00:00,23101.2,-1.627379869667999,709152.3272335723,1
2025-05-27 17:05:25+00:00,23091.3,-1.7082595962750982,719497.7510390071,1
2025-05-27 17:05:26+00:00,23100.0,-1.6371834728931065,737782.524324461,1
2025-05-27 17:05:27+00:00,23095.3,-1.6755809188580932,757899.7768316956,1
2025-05-27 17:05:28+00:00,23098.8,-1.646987076118214,766070.9679982472,1
2025-05-27 17:05:29+00:00,23100.7,-1.6314647043451247,770560.474690715,1
2025-05-27 17:05:30+00:00,23097.1,-1.660875514020447,782919.7259115429,1
2025-05-27 17:05:31+00:00,23103.3,-1.6102235640240834,810825.0406268275,1
2025-05-27 17:05:32+00:00,23113.9,-1.5236250688690025,854996.2534707544,1
2025-05-27 17:05:33+00:00,23108.8,-1.5652903825757016,892753.1693308202,1
2025-05-27 17:05:34+00:00,23108.2,-1.5701921841882405,923369.0419353619,1
2025-05-27 17:05:35+00:00,23101.1,-1.628196836603442,939708.5703803007,1
2025-05-27 17:05:36+00:00,23092.1,-1.7017238607917031,960890.2378062241,1
2025-05-27 17:05:37+00:00,23103.1,-1.6118574978949396,979862.7962286968,1
2025-05-27 17:05:38+00:00,23107.5,-1.5759109527362223,987907.284519264,1
2025-05-27 17:05:39+00:00,23112.3,-1.5366965398358223,971010.3990984871,1
2025-05-27 17:05:40+00:00,23104.8,-1.5979690599927066,939951.3773430961,1
2025-05-27 17:05:41+00:00,23103.8,-1.6061387293469578,926034.0356505754,1
2025-05-27 17:05:42+00:00,23102.5,-1.6167592995074784,934403.4620823546,1
2025-05-27 17:05:43+00:00,23112.5,-1.5350626059649661,950469.273196941,1
2025-05-27 17:05:44+00:00,23110.4,-1.5522189116088818,955409.6566653722,1
2025-05-27 17:05:45+00:00,23116.0,-1.5064687632250868,951219.2074614093,1
2025-05-27 17:05:46+00:00,23115.8,-1.508102697095943,948871.8983500176,1
2025-05-27 17:05:47+00:00,23101.6,-1.6241120019263164,958983.0944175586,1
2025-05-27 17:05:48+00:00,23103.5,-1.6085896301532272,960992.2922184683,1
2025-05-27 17:05:49+00:00,23105.0,-1.5963351261218504,964526.464990308,1
2025-05-27 17:05:50+00:00,23103.2,-1.6110405309594966,960654.0136217555,1
2025-05-27 17:05:51+00:00,23097.8,-1.6551567454724652,964649.7809083438,1
2025-05-27 17:05:52+00:00,23098.5,-1.6494379769244834,991500.5275747889,1
2025-05-27 17:05:53+00:00,23093.5,-1.6902863236957395,1031502.366389857,1
2025-05-27 17:05:54+00:00,23103.1,-1.6118574978949396,1091347.5142768295,1
2025-05-27 17:05:55+00:00,23103.8,-1.6061387293469578,1144570.2704434982,1
2025-05-27 17:05:56+00:00,23104.7,-1.5987860269281198,1171504.4092356376,1
2025-05-27 17:05:57+00:00,23104.5,-1.600419960798976,1179677.53664505,1
2025-05-27 17:05:58+00:00,23093.1,-1.693554191437452,1192384.7314068987,1
2025-05-27 17:05:59+00:00,23105.8,-1.5897993906384553,1214443.10012873,1
2025-05-27 17:06:00+00:00,23108.9,-1.5644734156402587,1250126.803063709,1
2025-05-27 17:06:01+00:00,23109.2,-1.5620225148339892,1265618.1151525592,1
2025-05-27 17:06:02+00:00,23109.4,-1.560388580963133,1274062.7682579453,1
2025-05-27 17:06:03+00:00,23106.7,-1.5824466882196173,1272250.3406881588,1
2025-05-27 17:06:04+00:00,23096.9,-1.6625094478912734,1275241.2594692893,1
2025-05-27 17:06:05+00:00,23107.8,-1.5734600519299529,1270478.7681418494,1
2025-05-27 17:06:06+00:00,23105.7,-1.5906163575738685,1227161.6882228272,1
2025-05-27 17:06:07+00:00,23105.6,-1.5914333245093115,1188733.0856164598,1
2025-05-27 17:06:08+00:00,23103.7,-1.606955696282371,1127785.9499376798,1
2025-05-27 17:06:09+00:00,23096.6,-1.6649603486975726,1080532.1482253603,1
2025-05-27 17:06:10+00:00,23098.2,-1.6518888777307528,1065509.2517478482,1
2025-05-27 17:06:11+00:00,23103.4,-1.6094065970886404,1065302.493448985,1
2025-05-27 17:06:12+00:00,23107.6,-1.575093985800809,1070859.1862739762,1
2025-05-27 17:06:13+00:00,23115.8,-1.508102697095943,1082235.214000003,1
2025-05-27 17:06:14+00:00,23116.6,-1.501566961612548,1087836.9827505078,1
2025-05-27 17:06:15+00:00,23107.1,-1.5791788204779347,1127761.8813785496,1
2025-05-27 17:06:16+00:00,23117.8,-1.4917633583874406,1168090.9405026687,1
2025-05-27 17:06:17+00:00,23113.0,-1.5309777712878405,1180250.0864394763,1
2025-05-27 17:06:18+00:00,23113.6,-1.5260759696753017,1174283.5777664077,1
